EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 country codes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 75 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
17760,RONCOVETRO                              ,IT,+44:31:03,+010:22:52,5710
17761,RONTANA                                 ,IT,+44:13:37,+011:44:16,3700
16659,ROVEGNO                                 ,IT,+44:34:33,+009:16:57, 686
17762,ROVERSANO                               ,IT,+44:05:08,+012:12:24,1750
17765,SAIARINO                                ,IT,+44:37:21,+011:48:45,  80
17768,SALETTO                                 ,IT,+44:37:56,+011:26:28, 180
16736,SALSOMAGGIORE                           ,IT,+44:49:08,+009:59:28, 161
17769,SALSOMINORE                             ,IT,+44:37:57,+009:24:19,4080
17771,SAN_BARTOLOMEO_IN_BOSCO                 ,IT,+44:44:29,+011:36:23,  80
17772,SAN_CARLO                               ,IT,+44:05:27,+012:11:59, 540
 2889,SAN CASSIANO                            ,IT,+44:08:54,+011:41:30, 230
17773,SAN_FELICE_SUL_PANARO                   ,IT,+44:49:33,+011:07:32, 160
17777,SAN_GIUSEPPE                            ,IT,+44:43:49,+012:11:09, -50
 2891,SAN MARINO                              ,IT,+43:56:15,+012:26:47, 680
17779,SAN_MICHELE                             ,IT,+44:45:45,+009:42:08,6620
17780,SAN_NICOLO                              ,IT,+45:02:29,+009:35:22, 680
17781,SAN_PANCRAZIO                           ,IT,+44:48:29,+010:16:20, 590
17783,SAN_PIETRO_CAPOFIUME                    ,IT,+44:39:13,+011:37:21, 110
17784,SAN_PIETRO_IN_VINCOLI                   ,IT,+44:18:50,+012:09:36,  50
17786,SANTAGATA_BOLOGNESE                     ,IT,+44:41:42,+011:08:41, 180
17787,SANTAGATA_SUL_SANTERNO                  ,IT,+44:26:54,+011:51:59, 100
17789,SANTA_MARIA_CODIFIUME                   ,IT,+44:41:06,+011:40:24,  50
17791,SANTANTONIO_ARPA                        ,IT,+44:34:07,+011:43:57,  80
17794,SANTERNO_SENIO_1                        ,IT,+44:24:03,+011:51:49, 160
17795,SANTERNO_SENIO_2                        ,IT,+44:22:05,+011:50:19, 190
17796,SANTO_STEFANO_DAVETO                    ,IT,+44:32:45,+009:27:00,1007
17797,SAN_VALENTINO                           ,IT,+44:31:25,+010:41:57,3020
17798,SAN_ZACCARIA                            ,IT,+44:15:26,+012:12:50, 100
17799,SASSO_MARCONI_ARPA                      ,IT,+44:26:22,+011:14:28,2750
17800,SASSO_MORELLI                           ,IT,+44:25:10,+011:45:14, 190
17801,SASSO_MORELLI_BEGHINA                   ,IT,+44:23:50,+011:43:27, 280
17802,SASSOSTORNO                             ,IT,+44:15:33,+010:40:26,9710
17806,SELLARINO_VOGHIERA                      ,IT,+44:44:47,+011:44:46,  30
17807,SELVA_FERRIERE                          ,IT,+44:35:12,+009:28:56,1109
17808,SELVANIZZA                              ,IT,+44:26:23,+010:14:08,4740
11611,SERMIDE (SP 91)                         ,IT,+45:01:00,+011:17:24,  10
17811,SERPIERI                                ,IT,+44:32:54,+011:22:02, 280
17812,SERRAMAZZONI                            ,IT,+44:25:43,+010:47:13,8260
 2904,SESTOLA                                 ,IT,+44:13:56,+010:46:07, 985
17813,SETTEFONTI                              ,IT,+44:24:09,+011:27:41,3300
17814,SISSA                                   ,IT,+44:57:08,+010:15:33, 320
17815,SIVIZZANO                               ,IT,+44:38:33,+010:21:25,2580
17822,TARSOGNO                                ,IT,+44:26:48,+009:37:04,8520
17824,TEODORANO                               ,IT,+44:05:29,+012:05:05, 790
17826,TERUZZI                                 ,IT,+44:41:42,+009:41:06,1077
17828,TORRIGLIA                               ,IT,+44:30:53,+009:09:16,7690
17830,TREBBIA_VALSIGIARA                      ,IT,+44:38:24,+009:19:48,4620
17831,TREBBIO                                 ,IT,+44:08:11,+011:50:13,5700
17832,TREPPIO                                 ,IT,+44:04:53,+011:01:58,6500
17833,VALDENA                                 ,IT,+44:26:38,+009:47:03,7620
17837,VALSENIO                                ,IT,+44:14:51,+011:39:03,1640
17839,VARANO_MARCHESI                         ,IT,+44:45:00,+010:01:08,2250
 2913,VARSI                                   ,IT,+44:38:58,+009:49:16, 451
 2916,VERGATO                                 ,IT,+44:17:16,+011:06:47, 193
17841,VERGIANO                                ,IT,+44:02:04,+012:30:01, 360
17842,VESPIGNANO                              ,IT,+44:13:58,+011:43:10,2080
17843,VICOBARONE                              ,IT,+44:59:29,+009:22:43,2630
17844,VIGNOLA                                 ,IT,+44:29:00,+010:58:59,1150
17845,VILLA_GHIGI                             ,IT,+44:28:33,+011:19:31,2030
 2920,VILLA MINOZZO                           ,IT,+44:21:45,+010:27:36, 704
17847,VOLANO                                  ,IT,+44:48:46,+012:15:01,  10
17849,VOLTRE                                  ,IT,+44:01:56,+012:02:35,2700
 2922,ZIBELLO                                 ,IT,+45:01:10,+010:07:34,  35
17850,ZOLA_PREDOSA                            ,IT,+44:29:46,+011:12:00, 650
17851,RIMINI_URBANA                           ,IT,+44:03:33,+012:34:24, 160
17852,RIMINI_AUSA                             ,IT,+44:03:23,+012:32:43, 100
17856,PARMA_URBANA                            ,IT,+44:48:28,+010:19:49, 790
17857,MODENA_URBANA                           ,IT,+44:39:23,+010:55:01, 730
17878,FERRARA_URBANA                          ,IT,+44:49:56,+011:37:16, 260
17861,BUDRIO_PRUNARO                          ,IT,+44:30:33,+011:31:12, 460
17862,BUDRIO_ROTTA_DEL_GIARDINO               ,IT,+44:35:52,+011:35:41, 100
17865,RAVENNA_URBANA                          ,IT,+44:24:53,+012:12:00, 270
17867,RIOLA_DI_VERGATO                        ,IT,+44:13:42,+011:03:20,2870
17875,REGGIO_NELLEMILIA_URBANA                ,IT,+44:41:52,+010:38:01, 720
17876,LUGO_RA                                 ,IT,+44:25:03,+011:54:47, 140
16488,CARLOFORTE                              ,IT,+39:08:14,+008:18:43,  18
21779,ALBARETO_-_CARAFFINI                    ,IT,+44:58:47,+009:25:00, 254
21780,BORGONOVO_-_GENESI                      ,IT,+44:58:05,+009:26:06, 164
21781,LAGO_SCAFFAIOLO_NIVO                    ,IT,+44:07:08,+010:49:03,1662
21782,VERAGO                                  ,IT,+44:57:46,+009:24:01, 320
21783,VICOMARINO                              ,IT,+44:58:50,+009:23:05, 234
21784,CONCA                                   ,IT,+43:57:29,+012:42:00,  19
21785,RICCIONE_URBANA                         ,IT,+44:00:01,+012:39:18,  22
